Month/Year,License Class,          Trips Per Day          ,          Farebox Per Day          ,           Unique Drivers           ,           Unique Vehicles           ,           Vehicles Per Day           ,         Avg Days Vehicles on Road         ,         Avg Hours Per Day Per Vehicle         ,         Avg Days Drivers on Road         ,         Avg Hours Per Day Per Driver         ,         Avg Minutes Per Trip         ,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2021-02,FHV - Lux Limo, 584 ,           -           , 781 , 768 , 274 , 10.00 , 2.10 , 10.00 , 2.10 , 53.00 ,-,-
2021-02,Green," 2,305 "," 52,276 ", 904 , 881 , 446 , 14.20 , 4.10 , 13.90 , 4.10 , 18.80 ,79%,-
2021-02,Yellow," 48,499 "," 755,115 "," 5,277 "," 4,496 "," 3,182 ", 19.80 , 7.90 , 17.60 , 7.60 , 12.40 ,76%,-
2021-01,FHV - Black Car," 10,386 ",           -           ," 3,816 "," 3,806 "," 1,752 ", 14.30 , 4.40 , 14.30 , 4.40 , 22.00 ,-,-
2021-01,FHV - High Volume," 383,932 ",," 47,622 "," 47,592 "," 28,582 ", 18.60 , 6.90 , 18.70 , 6.80 , 15.00 ,-,-
2021-01,FHV - Livery," 23,890 ",           -           ," 5,132 "," 5,030 "," 3,086 ", 19.00 , 5.10 , 18.90 , 5.00 , 15.00 ,-,-
2021-01,FHV - Lux Limo, 528 ,           -           , 793 , 769 , 264 , 10.70 , 2.00 , 10.50 , 1.90 , 50.00 ,-,-
2021-01,Green," 2,467 "," 56,409 ", 991 , 982 , 491 , 15.50 , 4.10 , 15.50 , 4.00 , 17.40 ,79%,-
2021-01,Yellow," 44,052 "," 688,811 "," 5,396 "," 4,625 "," 3,256 ", 21.80 , 7.50 , 19.40 , 7.30 , 11.60 ,75%,-
2020-12,FHV - Black Car," 11,293 ",," 4,217 "," 4,187 "," 1,915 ", 14.20 , 4.50 , 14.10 , 4.50 , 22.00 ,-,-
2020-12,FHV - High Volume," 374,990 ",          -          ," 51,525 "," 51,534 "," 32,488 ", 19.50 , 6.50 , 19.70 , 6.50 , 16.00 ,-,-
2020-12,FHV - Livery," 24,385 ",," 5,474 "," 5,372 "," 3,281 ", 18.90 , 5.00 , 18.80 , 5.00 , 16.00 ,-,-
2020-12,FHV - Lux Limo, 475 ,, 749 , 724 , 237 , 10.20 , 2.00 , 10.00 , 1.90 , 57.00 ,-,-
2020-12,Green," 2,681 "," 60,329 "," 1,095 "," 1,087 ", 560 , 16.00 , 3.90 , 16.00 , 3.90 , 18.10 ,76%,-
2020-12,Yellow," 47,145 "," 744,835 "," 6,092 "," 5,142 "," 3,757 ", 22.70 , 7.40 , 19.80 , 7.10 , 12.40 ,75%,-
2020-11,FHV - Black Car," 11,825 ",          -          ," 4,460 "," 4,458 "," 2,013 ", 13.60 , 4.50 , 13.60 , 4.50 , 24.00 ,-,-
2020-11,FHV - High Volume," 386,122 ",          -          ," 52,996 "," 52,928 "," 34,062 ", 19.30 , 6.40 , 19.50 , 6.40 , 16.00 ,-,-
